proof_name;collect_units;fix;reinsert;rebuild;reassemble;total time (seconds);original_lines;compressed_lines;line_difference;checker_err;elab_err;compress_err;invalid_compress;worked
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_09_32_20_504_5673616.alethe;"0,13930099999999998";"0,004397000000000001";"0,002198";"0,045644";"0,002431";"0,219822";30;30;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_17_46_08_555_5399476.alethe;"0,275138";"0,008245";"0,002398";"0,096579";"0,002245";"0,424629";72;72;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_20_38_17_162_6538620.alethe;"0,115232";"0,005476";"0,002718";"0,046457";"0,001525";"0,193625";31;31;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_16_54_13_144_5488888.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_16_41_25_768_5328198.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_05_45_59_533_5161480.alethe;"0,091732";"0,003539";"0,002064";"0,036041000000000004";"0,00046199999999999995";"0,149686";22;22;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_16_50_03_676_5427188.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_04_59_19_761_5410318.alethe;"0,29411699999999996";"0,007247";"0,004643";"0,114346";"0,0026579999999999998";"0,470444";29;29;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_15_12_57_350_18656408.alethe;"0,0342";"0,003477";"0,001852";"0,013732";"0,000547";"0,065689";6;6;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_07_48_19_224_8437724.alethe;"0,0327";"0,002101";"0,00166";"0,011529";"0,000443";"0,061363";5;5;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_06_52_26_741_5221702.alethe;"0,085065";"0,0036119999999999998";"0,002182";"0,030511999999999997";"0,00065";"0,139762";18;18;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_21_15_08_089_7664742.alethe;"0,130159";"0,004214";"0,002123";"0,045139000000000006";"0,00238";"0,209244";27;27;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_04_31_42_510_5026988.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_18_55_26_335_5171000.alethe;;;;;;;;;;1;;;;;
