proof_name;collect_units;fix;reinsert;rebuild;reassemble;total time (seconds);original_lines;compressed_lines;line_difference;checker_err;elab_err;compress_err;invalid_compress;worked
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_23_19_16_11_074_5147710.alethe;"0,055938";"0,005005000000000001";"0,002427";"0,024925";"0,000482";"0,104424";5;5;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_23_21_58_18_486_5996060.alethe;"0,226129";"0,065057";"0,01451";"0,080484";"0,001843";"0,42119599999999996";58;56;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_23_22_42_28_606_7366450.alethe;"0,146413";"0,005159";"0,0020090000000000004";"0,054056";"0,002045";"0,236579";41;41;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_23_18_31_06_963_5320700.alethe;"0,037965";"0,003726";"0,0014240000000000001";"0,012325";"0,00042100000000000004";"0,068074";6;6;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_05_20_49_548_5442212.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_06_26_24_476_5081294.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_23_18_32_03_062_5351258.alethe;"0,26620499999999997";"0,0077069999999999994";"0,0022400000000000002";"0,092777";"0,0021160000000000003";"0,410713";72;72;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_02_04_04_010_5012964.alethe;"0,420957";"0,174098";"0,017567";"0,131076";"0,00265";"0,795033";88;84;-4;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_09_10_12_300_5018962.alethe;"0,189107";"0,006054";"0,002274";"0,065978";"0,0018750000000000001";"0,296068";48;48;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_23_07_31_53_601_5356988.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_05_31_54_243_5718380.alethe;"0,11988499999999999";"0,004109";"0,0019360000000000002";"0,042943";"0,001582";"0,19307999999999997";29;29;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_23_21_33_42_583_5210754.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_04_21_36_224_5164216.alethe;"0,09983900000000001";"0,0036739999999999997";"0,003134";"0,037274999999999996";"0,001698";"0,167769";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_23_18_43_07_455_5681612.alethe;"0,274489";"0,004177";"0,00307";"0,11641699999999999";"0,0028669999999999998";"0,44862599999999997";90;90;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_08_38_36_354_5955374.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_06_25_37_316_5039880.alethe;"0,302922";"0,109794";"0,017244";"0,129051";"0,001789";"0,5982850000000001";78;75;-3;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_23_22_07_48_186_6313544.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_05_09_02_058_5130568.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_23_23_11_14_183_5193300.alethe;"0,14383700000000002";"0,004085";"0,0022069999999999998";"0,047755";"0,001558";"0,22286";37;37;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_05_49_32_934_5066708.alethe;"0,093151";"0,004322";"0,002069";"0,037991000000000004";"0,000509";"0,15811699999999998";9;9;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_00_11_33_163_5342638.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_cvc4/x2020_07_24_08_20_03_394_5242698.alethe;"0,225997";"0,005725";"0,002376";"0,042613";"0,000595";"0,29915600000000003";18;18;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_43_30_700_8105042.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_42_16_532_8091018.alethe;"1,483107";"0,034005";"0,0056";"0,48964799999999997";"0,006527000000000001";"2,1831289999999997";391;391;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_43_33_807_8106638.alethe;"0,781245";"0,008124999999999999";"0,002512";"0,302056";"0,0030359999999999996";"1,193047";252;252;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_43_52_785_8112770.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_36_36_942_8037242.alethe;"1,454726";"0,028002";"0,004421";"0,512942";"0,005163";"2,1633109999999998";413;413;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_10_50_28_718_6889122.alethe;"1,9621349999999997";"0,028516";"0,005752";"0,732132";"0,006122";"2,944345";625;625;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_43_55_098_8114388.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_45_49_884_8155274.alethe;"0,026687";"0,004483";"0,0019010000000000001";"0,009733";"0,00039499999999999995";"0,054351000000000003";3;3;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_35_25_121_8022852.alethe;"1,612956";"0,034274";"0,00528";"0,543363";"0,006748";"2,374177";414;414;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_03_18_118_7325834.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_36_34_233_8034772.alethe;"0,24951900000000002";"0,007174000000000001";"0,0025009999999999998";"0,089883";"0,002745";"0,39081499999999997";66;66;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_20_37_843_7800078.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_43_27_969_8103246.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_10_57_38_731_7273614.alethe;"0,17089500000000002";"0,004938";"0,00198";"0,057318";"0,0021739999999999997";"0,26471";39;39;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_34_48_299_8013896.alethe;"0,032615";"0,0022359999999999997";"0,001564";"0,013359000000000001";"0,00042100000000000004";"0,061946999999999995";7;7;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_43_58_500_8116154.alethe;"0,7893950000000001";"0,007986";"0,002435";"0,322602";"0,002902";"1,2193399999999999";252;252;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_10_57_35_142_7271506.alethe;"0,168469";"0,00481";"0,00204";"0,055693";"0,002244";"0,260802";39;39;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_12_54_835_7735450.alethe;"0,074938";"0,004901";"0,001772";"0,025301999999999998";"0,001524";"0,12504";16;16;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT/x2020_07_30_11_17_49_854_7780068.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_33_07_140_4628884.alethe;"0,058568";"0,022314999999999998";"0,00292";"0,021005";"0,0006039999999999999";"0,120429";4;4;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_18_58_011_6205212.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_45_00_623_5089040.alethe;"3,770069";"0,5527559999999999";"0,08417200000000001";"1,206319";"0,011338";"6,0578259999999995";1003;991;-12;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_08_11_867_8160994.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_17_20_36_181_6429340.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_45_55_375_4816838.alethe;"0,133041";"0,004502";"0,00235";"0,043195000000000004";"0,002222";"0,21087499999999998";27;27;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_23_19_012_6374366.alethe;"0,129419";"0,004267";"0,001935";"0,043343999999999994";"0,002295";"0,20493599999999998";26;26;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_02_06_088_7913944.alethe;"0,103472";"0,004259000000000001";"0,001536";"0,036149";"0,00047599999999999997";"0,16326900000000003";24;24;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_00_28_189_7851240.alethe;"0,277702";"0,065064";"0,013226";"0,104323";"0,002725";"0,505687";73;71;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_12_54_361_5946072.alethe;"0,123337";"0,004202";"0,0019360000000000002";"0,042623999999999995";"0,0020099999999999996";"0,20049099999999997";26;26;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_22_17_533_4474560.alethe;"0,36246199999999995";"0,010275999999999999";"0,0039380000000000005";"0,134627";"0,0027089999999999996";"0,564413";90;90;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_22_32_852_4492936.alethe;"0,653675";"0,103602";"0,015753999999999997";"0,227569";"0,005056000000000001";"1,1281729999999999";186;182;-4;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_22_30_875_6330770.alethe;"0,17194500000000001";"0,00799";"0,002329";"0,06004";"0,00047999999999999996";"0,264904";47;47;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_17_52_065_6150386.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_18_40_369_6179618.alethe;"0,09357800000000001";"0,003995";"0,0023769999999999998";"0,034386";"0,000453";"0,151352";19;19;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_13_43_720_5992710.alethe;"0,134511";"0,0046559999999999995";"0,002476";"0,044343";"0,002045";"0,217636";26;26;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_59_16_954_7764882.alethe;"0,052787999999999995";"0,0031420000000000003";"0,001429";"0,018795";"0,00046499999999999997";"0,090493";9;9;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_40_35_239_4899098.alethe;"0,183273";"0,005894";"0,001621";"0,065246";"0,002101";"0,286889";45;45;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_57_01_689_5568586.alethe;"0,18850599999999998";"0,006462";"0,001672";"0,06380699999999999";"0,001897";"0,291702";45;45;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_44_06_680_7246516.alethe;"0,22328499999999998";"0,005584";"0,0024430000000000003";"0,076456";"0,002688";"0,35179699999999997";57;57;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_17_10_50_790_6103830.alethe;"0,050304";"0,0028550000000000003";"0,0015710000000000001";"0,018155";"0,00047599999999999997";"0,086599";9;9;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_29_43_735_4310284.alethe;"0,166381";"0,004449";"0,006502";"0,064554";"0,00182";"0,317177";19;19;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_22_12_504_4260424.alethe;"0,650195";"0,097374";"0,0152";"0,237401";"0,004019999999999999";"1,087759";176;174;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_17_30_26_372_6781740.alethe;"0,059085";"0,003206";"0,002309";"0,027525";"0,0005279999999999999";"0,1094";6;6;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_02_01_611_5455592.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_14_14_603_4265664.alethe;"0,100757";"0,0037790000000000002";"0,0019549999999999997";"0,040383";"0,0015290000000000002";"0,170776";22;22;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_14_36_388_6025794.alethe;"0,049681";"0,002727";"0,001358";"0,017705000000000002";"0,00039999999999999996";"0,085392";10;10;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_28_49_746_4255172.alethe;"0,122134";"0,003968";"0,0020109999999999998";"0,040663";"0,0016849999999999999";"0,191025";29;29;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_34_25_942_4447382.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_50_48_855_5281470.alethe;"0,049303";"0,004745";"0,001493";"0,017962";"0,000435";"0,08551399999999999";10;10;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_53_45_184_5439784.alethe;"0,30754699999999996";"0,073228";"0,012712";"0,086885";"0,0027310000000000004";"0,5212739999999999";53;53;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_12_08_505_5897078.alethe;"0,120661";"0,004013";"0,002037";"0,041167";"0,002105";"0,193312";26;26;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_17_12_58_132_6181512.alethe;"0,310681";"0,006918";"0,003358";"0,10800900000000001";"0,0027719999999999997";"0,476298";29;29;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_14_15_705_8405824.alethe;"0,155861";"0,004978";"0,001688";"0,055892";"0,0019479999999999999";"0,24762599999999999";40;40;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_29_00_986_4480516.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_05_57_596_5633298.alethe;"0,277061";"0,008358";"0,001998";"0,093897";"0,002372";"0,424879";70;70;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_27_11_714_6646698.alethe;"0,116606";"0,003997";"0,0016849999999999999";"0,039896";"0,001853";"0,18774300000000002";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_17_28_29_541_6699812.alethe;"0,031016000000000002";"0,002202";"0,001802";"0,012069999999999999";"0,00046899999999999996";"0,05903";6;6;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_24_41_942_6515590.alethe;"0,107012";"0,005062";"0,0023350000000000003";"0,043543";"0,00049";"0,180368";10;10;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_16_38_774_8513388.alethe;"0,032449";"0,002067";"0,0012920000000000002";"0,012232000000000002";"0,000471";"0,0593";6;6;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_02_21_113_7945560.alethe;"0,086304";"0,007623";"0,0018169999999999998";"0,050436999999999996";"0,001635";"0,171285";19;19;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_47_02_224_4850194.alethe;"0,093538";"0,003525";"0,0014240000000000001";"0,031479999999999994";"0,000479";"0,147474";21;21;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_51_48_838_5354134.alethe;"0,04707";"0,002766";"0,0024830000000000004";"0,018243000000000002";"0,000432";"0,08326800000000001";10;10;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_17_26_28_758_6640234.alethe;"0,149172";"0,00636";"0,00175";"0,045887000000000004";"0,002144";"0,229636";31;31;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_51_08_268_5321078.alethe;"0,095707";"0,003832";"0,0016619999999999998";"0,031688";"0,00049";"0,149441";22;22;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_00_26_055_7846716.alethe;"0,131818";"0,0038079999999999998";"0,001642";"0,043623";"0,002106";"0,207584";29;29;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_08_20_069_8182740.alethe;"1,949896";"0,36554699999999996";"0,030721";"0,669126";"0,008351";"3,280042";525;525;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_48_13_816_5195036.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_02_07_306_7920744.alethe;"0,26964699999999997";"0,006776";"0,0028959999999999997";"0,08820700000000001";"0,002663";"0,409409";65;65;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_22_36_035_6337544.alethe;"0,10601400000000001";"0,005058";"0,0023279999999999998";"0,041239000000000005";"0,00039799999999999997";"0,174608";10;10;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_02_09_935_7928552.alethe;"0,156998";"0,0056300000000000005";"0,00193";"0,050571";"0,00036199999999999996";"0,235605";34;34;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_25_27_758_6575642.alethe;"0,26535699999999995";"0,17601";"0,017374999999999998";"0,093075";"0,0020320000000000004";"0,587284";63;59;-4;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_33_43_702_4662652.alethe;"0,17682";"0,00808";"0,0022299999999999998";"0,062475";"0,00159";"0,276204";45;45;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_35_21_513_4725396.alethe;"0,169103";"0,00474";"0,001643";"0,054927";"0,003236";"0,260233";37;37;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_56_35_149_7629076.alethe;"0,205694";"0,006217";"0,001894";"0,071961";"0,0018909999999999999";"0,31936600000000004";54;54;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_33_40_797_4652756.alethe;"0,249009";"0,006256";"0,003111";"0,083197";"0,003044";"0,389715";58;58;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_14_21_272_4276892.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_18_30_119_8571990.alethe;"0,141628";"0,004648";"0,00238";"0,05006";"0,002058";"0,226838";29;29;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_49_50_429_4935194.alethe;"0,18559699999999998";"0,0053159999999999995";"0,001951";"0,063775";"0,0019470000000000002";"0,28806";46;46;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_22_20_646_4479704.alethe;"0,64728";"0,081855";"0,017353";"0,24489200000000003";"0,005072";"1,093728";186;183;-3;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_39_59_071_7108176.alethe;"0,091558";"0,003313";"0,003824";"0,034978999999999996";"0,001574";"0,156866";20;20;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_17_06_27_504_5933684.alethe;"0,049672999999999995";"0,003458";"0,002322";"0,021286";"0,00045900000000000004";"0,095365";4;4;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_35_54_269_4493432.alethe;"0,24166300000000002";"0,007188";"0,002294";"0,087461";"0,001545";"0,369628";59;59;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_50_04_968_5248672.alethe;"0,050694";"0,003038";"0,001431";"0,018787";"0,000449";"0,086379";10;10;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_41_20_064_4934204.alethe;"0,370406";"0,060667";"0,013243";"0,131429";"0,002973";"0,631403";95;93;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_06_02_107_5638220.alethe;"0,21352400000000002";"0,006657";"0,006209";"0,073004";"0,0004969999999999999";"0,329907";21;21;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_47_37_154_4871404.alethe;"0,180274";"0,005348";"0,001736";"0,059421";"0,001976";"0,275482";40;40;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_22_38_082_4502880.alethe;"0,052445";"0,0028729999999999997";"0,001488";"0,018643";"0,000466";"0,089571";10;10;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_17_15_00_766_6254746.alethe;"1,196405";"0,11116999999999999";"0,014475";"0,473777";"0,005889";"1,946089";406;404;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_04_38_378_8037416.alethe;"0,182151";"0,004999";"0,003742";"0,067654";"0,002824";"0,29740399999999995";47;47;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_47_24_622_5170582.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_23_49_010_6452792.alethe;"0,096602";"0,00386";"0,0019069999999999998";"0,032621";"0,000499";"0,151791";22;22;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_17_29_52_970_6760156.alethe;"0,029689";"0,002004";"0,001531";"0,010605999999999999";"0,0006169999999999999";"0,054134";5;5;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_30_12_422_4330488.alethe;"0,310325";"0,009697";"0,002401";"0,10590999999999999";"0,001894";"0,469078";71;71;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_15_26_35_976_6619006.alethe;"0,218731";"0,07224900000000001";"0,011932";"0,07885299999999999";"0,0024289999999999997";"0,420239";53;53;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_14_55_27_658_5124228.alethe;"0,079626";"0,0034479999999999997";"0,002012";"0,028165";"0,001554";"0,13342299999999999";17;17;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_17_14_56_291_6244582.alethe;"0,24043799999999999";"0,006698";"0,0024219999999999997";"0,084687";"0,000544";"0,366806";24;24;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/BO_cvc42/x2020_08_03_16_49_16_357_5219902.alethe;;;;;;;;;;1;;;;;
